city,year,latitude,mean_c
London,1950,51.493847,10.0537
London,1951,51.493847,9.8441
London,1952,51.493847,9.7448
London,1953,51.493847,10.017
London,1954,51.493847,9.529
London,1955,51.493847,9.4373
London,1956,51.493847,8.994
London,1957,51.493847,10.4474
London,1958,51.493847,9.8164
London,1959,51.493847,10.9241
London,1960,51.493847,10.1885
London,1961,51.493847,10.7775
London,1962,51.493847,8.8841
London,1963,51.493847,8.5156
London,1964,51.493847,9.7997
London,1965,51.493847,9.4342
London,1966,51.493847,9.9537
London,1967,51.493847,10.0414
London,1968,51.493847,9.5907
London,1969,51.493847,9.7759
London,1970,51.493847,9.8184
London,1971,51.493847,10.0386
London,1972,51.493847,9.6814
London,1973,51.493847,9.8455
London,1974,51.493847,9.8871
London,1975,51.493847,10.0789
London,1976,51.493847,10.4273
London,1977,51.493847,9.7978
London,1978,51.493847,9.7055
London,1979,51.493847,9.3556
London,1980,51.493847,9.638
London,1981,51.493847,9.6137
London,1982,51.493847,10.3753
London,1983,51.493847,10.4227
London,1984,51.493847,10.1022
London,1985,51.493847,9.3551
London,1986,51.493847,9.2655
London,1987,51.493847,9.5822
London,1988,51.493847,10.2844
London,1989,51.493847,11.2712
London,1990,51.493847,11.3181
London,1991,51.493847,9.9542
London,1992,51.493847,10.3462
London,1993,51.493847,10.1093
London,1994,51.493847,10.9115
London,1995,51.493847,10.9381
London,1996,51.493847,9.5825
London,1997,51.493847,10.9351
London,1998,51.493847,10.6912
London,1999,51.493847,11.0093
London,2000,51.493847,10.6776
London,2001,51.493847,10.3247
London,2002,51.493847,11.1315
London,2003,51.493847,11.0153
London,2004,51.493847,10.8607
London,2005,51.493847,10.8636
London,2006,51.493847,11.3564
London,2007,51.493847,11.0082
London,2008,51.493847,10.4456
London,2009,51.493847,10.5586
London,2010,51.493847,9.403
London,2011,51.493847,11.3126
London,2012,51.493847,10.1801
London,2013,51.493847,9.9863
London,2014,51.493847,11.5436
London,2015,51.493847,11.0104
London,2016,51.493847,10.9109
London,2017,51.493847,11.1737
London,2018,51.493847,11.4504
London,2019,51.493847,11.0915
London,2020,51.493847,11.6454
London,2021,51.493847,10.7551
London,2022,51.493847,11.937
London,2023,51.493847,11.6447
London,2024,51.493847,11.7262
Nairobi,1950,-1.3005272,18.1189
Nairobi,1951,-1.3005272,18.229
Nairobi,1952,-1.3005272,18.0902
Nairobi,1953,-1.3005272,17.7551
Nairobi,1954,-1.3005272,18.3537
Nairobi,1955,-1.3005272,18.489
Nairobi,1956,-1.3005272,18.2727
Nairobi,1957,-1.3005272,18.22
Nairobi,1958,-1.3005272,18.4718
Nairobi,1959,-1.3005272,18.4537
Nairobi,1960,-1.3005272,18.3817
Nairobi,1961,-1.3005272,18.6162
Nairobi,1962,-1.3005272,18.2852
Nairobi,1963,-1.3005272,18.0386
Nairobi,1964,-1.3005272,17.6489
Nairobi,1965,-1.3005272,18.0471
Nairobi,1966,-1.3005272,18.3696
Nairobi,1967,-1.3005272,18.2507
Nairobi,1968,-1.3005272,17.7798
Nairobi,1969,-1.3005272,18.5266
Nairobi,1970,-1.3005272,18.4164
Nairobi,1971,-1.3005272,18.0507
