date,SPY,IWM,TLT,LQD,SHV
2010-01-04,84.5785,51.1112,55.0708,56.746,87.1757
2010-01-05,84.8024,50.9355,55.4265,57.0171,87.1441
2010-01-06,84.8621,50.8875,54.6845,56.849,87.152
2010-01-07,85.2203,51.263,54.7765,56.9195,87.152
2010-01-08,85.5039,51.5426,54.7519,57.0442,87.1836
2010-01-11,85.6233,51.3349,54.4515,57.1038,87.1836
2010-01-12,84.8248,50.7757,55.3836,57.2122,87.1757
2010-01-13,85.5412,51.4308,54.7397,56.9737,87.1678
2010-01-14,85.7726,51.6225,55.5062,57.1796,87.1678
2010-01-15,84.8098,50.8716,55.8496,57.1579,87.1599
2010-01-19,85.8696,51.8062,55.6901,57.2067,87.1757
2010-01-20,84.9964,51.0553,56.2543,57.1688,87.1757
2010-01-21,83.362,50.2165,56.5118,57.3206,87.1757
2010-01-22,81.5037,49.3138,56.4137,57.2338,87.1599
2010-01-25,81.9217,49.3697,56.1561,57.2284,87.1915
2010-01-26,81.5783,48.8824,56.1745,57.0767,87.1915
2010-01-27,81.9664,49.4016,56.1439,56.8707,87.1599
2010-01-28,81.0261,48.5548,56.1132,56.7894,87.1599
2010-01-29,80.1454,48.0196,56.6038,57.1526,87.1915
2010-02-01,81.3918,48.5868,56.09,56.8978,87.1694
2010-02-02,82.3769,49.1221,56.2499,57.0774,87.1852
2010-02-03,81.9664,48.7945,55.5977,57.0175,87.1773
2010-02-04,79.4365,47.1648,56.4776,57.0121,87.1773
2010-02-05,79.6006,47.3486,56.6007,56.838,87.1615
2010-02-08,79.026,46.8773,56.6746,56.8924,87.1931
2010-02-09,80.0186,47.5243,56.1085,56.7617,87.1931
2010-02-10,79.8619,47.6362,55.5731,56.3208,87.1852
2010-02-11,80.6977,48.3951,55.2716,56.4515,87.1931
2010-02-12,80.6305,48.7466,55.4992,56.5168,87.1931
2010-02-16,81.8993,49.5694,55.6039,56.74,87.1694
2010-02-17,82.2873,49.9049,54.97,56.5494,87.1852
2010-02-18,82.7724,50.3123,54.7485,56.5113,87.1931
2010-02-19,82.9441,50.3763,55.0438,56.7127,87.1773
2010-02-22,82.959,50.528,54.8162,56.7454,87.1852
2010-02-23,81.9515,49.9369,55.6715,56.8815,87.1852
2010-02-24,82.7053,50.3603,55.8069,57.1264,87.1773
2010-02-25,82.5933,50.3763,56.1207,57.0666,87.201
2010-02-26,82.6456,50.1686,56.41,57.4421,87.1931
2010-03-01,83.5038,51.3349,56.3853,57.516,87.1916
2010-03-02,83.7352,51.7263,56.3112,57.6362,87.152
2010-03-03,83.8098,52.0219,56.1692,57.7565,87.1757
2010-03-04,84.0635,52.1577,56.4655,57.7837,87.1836
2010-03-05,85.2651,53.2202,55.7247,57.7127,87.1757
2010-03-08,85.28,53.3161,55.4346,57.8057,87.1916
2010-03-09,85.4218,53.5078,55.447,57.751,87.1836
2010-03-10,85.8024,53.9632,55.305,57.8057,87.1757
2010-03-11,86.1606,54.1229,55.5087,57.7837,87.1678
2010-03-12,86.1681,54.0989,55.8544,57.904,87.1836
2010-03-15,86.1905,53.9152,55.7803,57.8931,87.1836
2010-03-16,86.8771,54.3785,56.2248,58.1609,87.1599
2010-03-17,87.392,54.6981,56.4655,58.3741,87.1836
2010-03-18,87.3472,54.5303,56.2803,58.2593,87.1836
2010-03-19,86.9051,53.8513,56.3359,58.2156,87.1836
2010-03-22,87.3698,54.6102,56.3976,58.3085,87.1836
