code,name,instructor,location,"meeting times"
"MPCS 53112-1","Advanced Data Analytics","Amitabh Chaudhary","Ryerson 176","Wednesday 5:30pm - 8:30pm"
"MPCS 51100-1","Advanced Programming","Andrew Siegel","Crerar 298","Monday 6:00pm - 7:30pm"
"MPCS 55001-1",Algorithms,"Ishan Agarwal","Crerar 011","Tuesday 2:00pm - 4:50pm"
"MPCS 55001-2",Algorithms,"Geraldine Brady","Ryerson 251","Tuesday 5:30pm - 8:30pm"
"MPCS 52560-1","Applied Financial Technology","Dylan Hall","Ryerson 255","Wednesday 5:30pm - 8:30pm"
"MPCS 53014-1","Big Data Application Architecture","Michael Spertus","Crerar 390","Monday 5:30pm - 8:30pm"
"MPCS 51083-1","Cloud Computing","Vasilios Vasiliadis","Crerar 011","Friday 9:30am - 11:20am"
"MPCS 50101-1","Concepts of Programming","Thomas Binkowski","Crerar 011","Monday 5:30pm - 7:30pm"
"MPCS 51040-1","C Programming","Dries Kimpe","Ryerson 277","Monday 5:30pm - 8:30pm"
"MPCS 53001-1",Databases,"Ahmed Khaled","Crerar 011","Tuesday 5:30pm - 8:30pm"
"MPCS 53001-2",Databases,"Rafi Almhana","Ryerson 251","Thursday 5:30pm - 8:30pm"
"MPCS 52040-1","Distributed Systems","Kyle Chard","Crerar 390","Wednesday 5:30pm - 8:30pm"
"MPCS 51400-1","Functional Programming","Matthew Francis Teichman","Crerar 011","Wednesday 5:30pm - 8:30pm"
"MPCS 57200-1","Generative AI","Michael Spertus","Crerar 390","Tuesday 5:30pm - 8:30pm"
"MPCS 55003-1","Intermediate Algorithms","Amitabh Chaudhary","Ryerson 177","Tuesday 2:00pm - 3:20pm; Thursday 2:00pm - 3:20pm"
"MPCS 51046-1","Intermediate Python Programming","Chelsea Troy","Online Only","Wednesday 2:30pm - 5:20pm"
"MPCS 52011-1","Introduction to Computer Systems","Marty Billingsley","Crerar 390","Thursday 5:30pm - 8:30pm"
"MPCS 56430-1","Introduction to Scientific Computing","Thomas Binkowski","Online Only","Wednesday 9:30am - 11:20am"
"MPCS 51082-1","Introduction to Unix Systems","Lamont Kenneth Samuels","Crerar 011","Monday 9:30am - 11:20am"
"MPCS 51082-2","Introduction to Unix Systems","Lamont Kenneth Samuels","Crerar 011","Thursday 5:30pm - 7:30pm"
"MPCS 51036-1","Java Programming","Adam Gerber","Ryerson 255","Monday 5:30pm - 7:30pm"
"MPCS 50103-1","Mathematics for Computer Science: Discrete Mathematics","Geraldine Brady","Ryerson 251","Wednesday 5:30pm - 8:30pm"
"MPCS 50103-2","Mathematics for Computer Science: Discrete Mathematics","Ishan Agarwal","Crerar 011","Thursday 2:00pm - 4:50pm"
"MPCS 52060-1","Parallel Programming","Jan Hückelheim","Crerar 011","Friday 2:30pm - 5:20pm"
"MPCS 51240-1","Product Management","Peter Vassilatos","Crerar 298","Thursday 6:00pm - 8:30pm"
"MPCS 51042-1","Python Programming","James Turk","Ryerson 276","Monday 5:30pm - 8:30pm"
"MPCS 51042-2","Python Programming","James Turk","Crerar 011","Monday 3:00pm - 4:20pm; Wednesday 3:00pm - 4:20pm"
"MPCS 51205-1","Topics in Software Engineering","Mark Shacklette","Online Only","Tuesday 4:10pm - 6:00pm"
"MPCS 51230-1","User Interface and User Experience Design","Andre Marques","Crerar 298","Tuesday 5:30pm - 7:30pm"
"MPCS 52553-1","Web Development","Trevor Austin","Crerar 011","Friday 5:30pm - 8:30pm"
