code,name,instructor,location,meeting times
MPCS 50101-1,Concepts of Programming,Thomas Andrew Binkowski,,Monday 5:30pm - 7:30pm
MPCS 50103-1,Mathematics for Computer Science: Discrete Mathematics,Ishan Agarwal,,Wednesday 5:30pm - 8:30pm
MPCS 50103-2,Mathematics for Computer Science: Discrete Mathematics,Ishan Agarwal,,Thursday 11:00am - 1:50pm
MPCS 51036-1,Java Programming,Adam Gerber,,Monday 5:30pm - 8:00pm
MPCS 51040-1,C Programming,Dries Kimpe,,Monday 5:30pm - 8:30pm
MPCS 51042-1,Python Programming,James Turk,,Tuesday 2:00pm - 4:50pm
MPCS 51042-2,Python Programming,Jeffrey Cohen,,Thursday 6:00pm - 8:30pm
MPCS 51046-1,Intermediate Python Programming,Chelsea Troy,Online,Wednesday 2:00pm - 5:00pm
MPCS 51083-1,Cloud Computing,Vas Vasiliadis,Online,Friday 9:30am - 12:20pm
MPCS 51100-1,Advanced Programming,Andrew Robert Siegel,,Monday 6:00pm - 8:00pm
MPCS 51205-1,Topics in Software Engineering,Mark Shacklette,Online,Tuesday 3:10pm - 5:00pm
MPCS 51238-1,"Design, Build, Ship",Andre Fiuza Marques,,Tuesday 5:30pm - 7:30pm
MPCS 51240-1,Product Management,Peter Vassilatos,,Thursday 6:00pm - 9:00pm
MPCS 51400-1,Functional Programming,Matthew Francis Teichman,,Wednesday 5:30pm - 8:30pm
MPCS 51900-1,Introduction to Systems Programming,Lamont Kenneth Samuels,,Tuesday 5:30pm - 8:30pm
MPCS 51900-2,Introduction to Systems Programming,Lamont Kenneth Samuels,,Wednesday 2:30pm - 5:20pm
MPCS 52011-1,Introduction to Computer Systems,Marty E Billingsley,,Tuesday 6:00pm - 9:00pm
MPCS 52040-1,Distributed Systems,Kyle Chard,,Friday 2:30pm - 5:20pm
MPCS 52060-1,Parallel Programming,Jan Hueckelheim,,Monday 2:30pm - 5:20pm
MPCS 52553-1,Web Development,Trevor Austin,,Friday 5:30pm - 8:30pm
MPCS 52560-1,Applied Financial Technology,Dylan Hall,,Wednesday 5:30pm - 8:30pm
MPCS 53001-1,Databases,—,,Wednesday 5:00pm - 7:30pm
MPCS 53001-2,Databases,Rafi Almhana,,Thursday 5:30pm - 8:30pm
MPCS 53014-1,Big Data Application Architecture,—,,Tuesday 5:30pm - 8:30pm
MPCS 53111-1,Machine Learning,Amitabh Chaudhary,,Friday 5:30pm - 8:30pm
MPCS 53112-1,Advanced Data Analytics,Amitabh Chaudhary,,Monday 5:30pm - 8:30pm
MPCS 55001-1,Algorithms,Geraldine Brady,,Tuesday 11:00am - 1:50pm
MPCS 55001-2,Algorithms,Geraldine Brady,,Wednesday 5:30pm - 8:30pm
MPCS 56430-1,Introduction to Scientific Computing,Thomas Andrew Binkowski,,Monday 2:30pm - 4:20pm
MPCS 56640-1,Software Testing,Lionel Barrow,,Monday 5:30pm - 8:30pm
MPCS 57200-1,Generative AI,—,,Wednesday 5:30pm - 8:30pm
MPCS 57220-1,Agentic AI Engineering,Rafi Almhana,,Thursday 2:00pm - 4:50pm
